Model,Cluster,Multistage,Simple Random,Stratified,Systematic
GradientBoosting,0.9934640522875817,0.9947916666666666,0.974025974025974,0.9934640522875817,0.625
KNeighbors,0.8137254901960784,0.8229166666666666,0.7272727272727273,0.8235294117647058,0.6875
LogisticRegression,0.9052287581699346,0.921875,0.8571428571428571,0.9183006535947712,0.8125
RandomForest,0.9934640522875817,0.9947916666666666,0.974025974025974,1.0,0.8125
SVM,0.6797385620915033,0.7083333333333334,0.6363636363636364,0.6830065359477124,0.6875
